Epoch,Train_Loss,Train_Acc,Train_Prec,Train_Rec,Train_F1,Val_Acc,Val_Prec,Val_Rec,Val_F1
0,0.2459,0.9777,0.9777,0.9777,0.9777,0.9912,0.9913,0.9912,0.9912
1,0.2180,0.9947,0.9947,0.9947,0.9947,0.9969,0.9969,0.9969,0.9969
2,0.2144,0.9966,0.9966,0.9966,0.9966,0.9955,0.9955,0.9955,0.9955
3,0.2111,0.9976,0.9976,0.9976,0.9976,0.9979,0.9979,0.9979,0.9979
4,0.2085,0.9985,0.9985,0.9985,0.9985,0.9952,0.9952,0.9952,0.9952
5,0.2065,0.9990,0.9990,0.9990,0.9990,0.9984,0.9984,0.9984,0.9984
6,0.2052,0.9994,0.9994,0.9994,0.9994,0.9955,0.9955,0.9955,0.9955
7,0.2043,0.9997,0.9997,0.9997,0.9997,0.9984,0.9984,0.9984,0.9984
8,0.2045,0.9996,0.9996,0.9996,0.9996,0.9967,0.9967,0.9967,0.9967
9,0.2032,0.9999,0.9999,0.9999,0.9999,0.9983,0.9983,0.9983,0.9983
10,0.2030,1.0000,1.0000,1.0000,1.0000,0.9973,0.9973,0.9973,0.9973
11,0.2031,0.9999,0.9999,0.9999,0.9999,0.9973,0.9973,0.9973,0.9973
12,0.2034,0.9999,0.9999,0.9999,0.9999,0.9985,0.9985,0.9985,0.9985
13,0.2028,1.0000,1.0000,1.0000,1.0000,0.9981,0.9981,0.9981,0.9981
14,0.2027,1.0000,1.0000,1.0000,1.0000,0.9981,0.9981,0.9981,0.9981
