Epoch,Train_Loss,Train_Acc,Train_Prec,Train_Rec,Train_F1,Val_Acc,Val_Prec,Val_Rec,Val_F1
0,0.2444,0.9796,0.9796,0.9796,0.9796,0.9951,0.9952,0.9951,0.9951
1,0.2179,0.9946,0.9946,0.9946,0.9946,0.9970,0.9970,0.9970,0.9970
2,0.2136,0.9972,0.9972,0.9972,0.9972,0.9974,0.9975,0.9974,0.9974
3,0.2117,0.9978,0.9978,0.9978,0.9978,0.9966,0.9966,0.9966,0.9966
4,0.2096,0.9986,0.9986,0.9986,0.9986,0.9965,0.9965,0.9965,0.9965
5,0.2073,0.9991,0.9991,0.9991,0.9991,0.9979,0.9979,0.9979,0.9979
6,0.2061,0.9995,0.9995,0.9995,0.9995,0.9978,0.9978,0.9978,0.9978
7,0.2048,0.9998,0.9998,0.9998,0.9998,0.9987,0.9987,0.9987,0.9987
8,0.2048,0.9997,0.9997,0.9997,0.9997,0.9977,0.9977,0.9977,0.9977
9,0.2045,0.9997,0.9997,0.9997,0.9997,0.9975,0.9975,0.9975,0.9975
10,0.2035,0.9999,0.9999,0.9999,0.9999,0.9988,0.9988,0.9988,0.9988
11,0.2033,0.9999,0.9999,0.9999,0.9999,0.9987,0.9987,0.9987,0.9987
12,0.2032,0.9999,0.9999,0.9999,0.9999,0.9988,0.9988,0.9988,0.9988
13,0.2030,0.9999,0.9999,0.9999,0.9999,0.9990,0.9990,0.9990,0.9990
14,0.2030,1.0000,1.0000,1.0000,1.0000,0.9990,0.9990,0.9990,0.9990
